start-x,start-y,end-x,end-y,start-time,end-time,car-id,car-type,average-speed
124,111,140,184,2015-05-01 01:24:02,2015-05-01 01:33:57,20154301124328-262,4,35.213445378151256
124,111,140,184,2015-05-01 02:15:17,2015-05-01 02:25:58,20153101013141-937,1,32.68642745709828
104,32,183,87,2015-05-01 03:34:01,2015-05-01 03:54:52,20155201025212-846,4,33.49640287769784
124,111,140,184,2015-05-01 03:40:27,2015-05-01 03:52:03,20155301025312-741,4,30.103448275862068
140,184,183,87,2015-05-01 03:01:46,2015-05-01 03:21:55,20150101030146-497,3,33.588089330024815
65,144,17,67,2015-05-01 03:52:51,2015-05-01 04:06:50,20153701033700-323,1,33.72586412395709
124,111,140,184,2015-05-01 04:25:24,2015-05-01 04:36:27,20154001034019-109,5,31.601809954751126
64,25,115,167,2015-05-01 11:32:44,2015-05-01 11:54:46,20152901052958-57,1,33.4947049924357
183,87,140,184,2015-05-01 05:42:01,2015-05-01 05:59:25,20154201054201-550,2,38.89655172413793
65,144,115,167,2015-05-01 06:12:13,2015-05-01 06:26:25,20154901054932-304,3,36.25352112676057
124,111,140,184,2015-05-01 07:48:40,2015-05-01 08:00:02,20151701061719-611,1,30.72140762463343
104,32,183,87,2015-05-02 07:56:40,2015-05-02 08:16:56,20155101065139-549,1,34.46052631578947
65,144,17,67,2015-05-01 09:02:24,2015-05-01 09:15:38,20152001072049-523,1,35.63727959697733
124,111,140,184,2015-05-05 12:47:06,2015-05-05 12:56:32,20153601073650-751,3,37.01766784452296
138,181,128,175,2015-05-01 09:56:59,2015-05-01 09:58:22,20155201075209-669,2P,41.63855421686747
64,25,115,167,2015-05-01 08:41:03,2015-05-01 09:01:41,20151001081035-840,2,35.76736672051696
65,144,115,167,2015-05-01 08:28:35,2015-05-01 08:45:57,20151301081324-366,1,29.64299424184261
64,25,62,13,2015-05-01 12:31:25,2015-05-01 12:32:53,20152101082156-552,1,34.36363636363636
183,87,140,184,2015-05-01 08:27:31,2015-05-01 08:49:55,20152701082731-176,3,30.21428571428571
104,32,183,87,2015-05-02 18:53:54,2015-05-02 19:14:22,20153601093644-33,1,34.123778501628664
64,25,62,13,2015-05-04 22:59:10,2015-05-04 23:00:57,20155201095259-137,1,28.261682242990652
65,144,17,67,2015-05-01 10:51:10,2015-05-01 11:03:55,20153201103200-582,2,36.98823529411764
64,25,62,13,2015-05-01 11:10:39,2015-05-01 11:12:27,20153501103520-243,1,28.0
64,25,62,13,2015-05-01 11:05:14,2015-05-01 11:06:46,20153601103632-930,3,32.869565217391305
69,98,62,13,2015-05-02 06:57:52,2015-05-02 07:09:35,20154401104416-538,3,38.714082503556185
65,144,115,167,2015-05-05 11:49:25,2015-05-05 12:04:54,20155701105733-580,1,33.248654467169004
69,98,62,13,2015-05-03 06:20:58,2015-05-03 06:34:07,20155801105820-248,2,34.49429657794676
65,144,115,167,2015-05-01 11:59:22,2015-05-01 12:13:47,20151301111352-990,1,35.708670520231216
